Zip,Count
92130,84
92131,67
92126,65
92129,61
92122,44
92128,38
92127,38
92104,37
92103,33
92115,30
92111,29
92116,29
92117,28
92101,26
92120,25
92037,24
92123,21
92124,20
92109,18
92110,18
92106,13
92107,12
92108,12
91942,10
92114,10
92154,9
92064,9
91941,8
91911,8
91950,7
92105,7
92119,7
92102,7
92071,7
92173,7
91977,6
92020,6
91910,4
92078,4
92021,3
92139,3
92026,3
92113,2
92027,2
92040,2
92052,2
92057,1
92176,1
92014,1
92175,1
92677,1
92172,1
92118,1
92163,1
92036,1
91932,1
92069,1
92029,1
91945,1
92081,1
92121,1
91913,1
90280,1
92007,1
91915,1
92025,1
